2012-05-09 15:09:00,138 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":317};
2012-05-09 15:10:33,678 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveCommunicationPrinciple","Id":0,"Code":"COMM-3","Success":true,"Message":"Save Communication Principle Completed."};
2012-05-09 15:10:34,084 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":281};
2012-05-09 15:10:36,863 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":265};
2012-05-09 15:10:44,172 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"algo","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":271};
2012-05-09 15:10:46,092 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":264};
2012-05-09 15:13:02,138 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveCommunicationPrinciple","Id":0,"Code":"COMM-4","Success":true,"Message":"Save Communication Principle Completed."};
2012-05-09 15:13:02,747 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":504};
2012-05-09 15:17:35,588 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:17:35,619 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:18:40,004 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":9786};
