2012-03-23 09:23:34,620 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.7426948 seconds.;
2012-03-23 09:23:46,713 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.024412 seconds.;
2012-03-23 09:23:46,713 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.024412 seconds.;
2012-03-23 09:23:46,713 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.024412 seconds.;
2012-03-23 09:23:47,557 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004966 seconds.;
2012-03-23 09:23:47,573 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0048695 seconds.;
2012-03-23 09:23:47,573 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0048695 seconds.;
2012-03-23 09:23:47,573 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003123 seconds.;
2012-03-23 09:24:00,963 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.3048081 seconds.;
2012-03-23 09:24:11,932 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014466 seconds.;
2012-03-23 09:24:11,947 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002582 seconds.;
2012-03-23 09:24:11,994 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002384 seconds.;
2012-03-23 09:24:12,963 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000582 seconds.;
2012-03-23 09:24:12,963 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016186 seconds.;
2012-03-23 09:24:12,963 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016186 seconds.;
2012-03-23 09:24:24,432 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0074 seconds.;
2012-03-23 09:24:26,416 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022432 seconds.;
2012-03-23 09:24:27,025 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005741 seconds.;
2012-03-23 09:24:27,072 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002376 seconds.;
2012-03-23 09:24:27,072 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000326 seconds.;
2012-03-23 09:24:27,463 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0023206 seconds.;
2012-03-23 09:24:27,463 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002731 seconds.;
2012-03-23 09:24:27,713 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000515 seconds.;
2012-03-23 09:32:46,552 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.004903 seconds.;
2012-03-23 09:32:47,599 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022691 seconds.;
2012-03-23 09:32:48,099 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005044 seconds.;
2012-03-23 09:32:48,115 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000369 seconds.;
2012-03-23 09:32:48,130 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005757 seconds.;
2012-03-23 09:32:48,240 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0026692 seconds.;
2012-03-23 09:32:48,302 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003017 seconds.;
2012-03-23 09:32:48,333 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002604 seconds.;
2012-03-23 09:35:30,193 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.7873135 seconds.;
2012-03-23 09:35:32,396 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.002208 seconds.;
2012-03-23 09:35:33,037 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014955 seconds.;
2012-03-23 09:35:33,052 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006936 seconds.;
2012-03-23 09:35:33,083 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006163 seconds.;
2012-03-23 09:35:33,302 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006326 seconds.;
2012-03-23 09:35:33,318 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002469 seconds.;
2012-03-23 09:35:33,318 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002469 seconds.;
