2012-03-29 11:34:42,199 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9725667 seconds.;
2012-03-29 11:34:49,983 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014204 seconds.;
2012-03-29 11:34:49,983 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002177 seconds.;
2012-03-29 11:34:50,139 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000373 seconds.;
2012-03-29 11:34:51,028 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008296 seconds.;
2012-03-29 11:34:51,028 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008296 seconds.;
2012-03-29 11:34:51,044 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0048776 seconds.;
2012-03-29 11:34:51,059 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006347 seconds.;
2012-03-29 11:35:06,128 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0031941 seconds.;
2012-03-29 11:35:13,148 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003737 seconds.;
2012-03-29 11:35:13,397 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003517 seconds.;
2012-03-29 11:35:13,506 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003878 seconds.;
2012-03-29 11:35:13,553 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000152 seconds.;
2012-03-29 11:35:14,723 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003515 seconds.;
2012-03-29 11:35:14,723 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 9.71E-05 seconds.;
2012-03-29 11:35:14,957 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0021752 seconds.;
2012-03-29 11:35:14,988 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002411 seconds.;
2012-03-29 11:35:15,940 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003613 seconds.;
2012-03-29 11:35:15,956 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001197 seconds.;
2012-03-29 11:35:16,002 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001468 seconds.;
2012-03-29 11:35:16,049 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005762 seconds.;
