2012-03-30 09:49:19,777 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.4555068 seconds.;
2012-03-30 09:49:30,399 | [7] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0494561 seconds.;
2012-03-30 09:49:30,523 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005212 seconds.;
2012-03-30 09:49:30,538 | [6] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001777 seconds.;
2012-03-30 09:49:31,439 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003848 seconds.;
2012-03-30 09:49:31,517 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0053588 seconds.;
2012-03-30 09:49:31,532 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002232 seconds.;
2012-03-30 09:49:31,532 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008513 seconds.;
2012-03-30 09:50:39,239 | [6] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0030655 seconds.;
2012-03-30 09:50:44,628 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005259 seconds.;
2012-03-30 09:51:16,167 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016916 seconds.;
2012-03-30 09:53:21,577 | [6] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0029783 seconds.;
2012-03-30 09:53:59,399 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005168 seconds.;
2012-03-30 09:54:01,722 | [6] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005285 seconds.;
2012-03-30 09:54:04,170 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002001 seconds.;
2012-03-30 09:54:07,366 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005455 seconds.;
2012-03-30 09:54:09,861 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002669 seconds.;
2012-03-30 09:55:14,561 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0068553 seconds.;
2012-03-30 09:55:16,432 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016282 seconds.;
2012-03-30 09:55:16,915 | [6] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004687 seconds.;
2012-03-30 09:55:16,931 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001625 seconds.;
2012-03-30 09:55:16,946 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002105 seconds.;
2012-03-30 09:55:16,946 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0020761 seconds.;
2012-03-30 09:55:17,118 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003999 seconds.;
2012-03-30 09:55:17,133 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001945 seconds.;
2012-03-30 09:56:46,812 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015849 seconds.;
