2012-05-08 11:50:14,876 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0011715 seconds.;
2012-05-08 11:50:19,408 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000444 seconds.;
2012-05-08 11:50:19,424 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004647 seconds.;
2012-05-08 11:50:51,760 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:55,296 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.7761461 seconds.;
2012-05-08 11:51:07,055 | [16] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:19,610 | [17] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:20,311 | [19] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:21,136 | [20] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:22,055 | [10] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:22,725 | [12] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:27,086 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015933 seconds.;
2012-05-08 11:51:37,943 | [14] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:38,067 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0166219 seconds.;
2012-05-08 11:51:38,067 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014975 seconds.;
2012-05-08 11:51:38,083 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006625 seconds.;
2012-05-08 11:51:39,500 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.002548 seconds.;
2012-05-08 11:51:42,600 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 6.24E-05 seconds.;
2012-05-08 11:51:42,600 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 6.24E-05 seconds.;
2012-05-08 11:51:44,422 | [17] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:51:48,114 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:2780};
2012-05-08 11:51:48,207 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0050982 seconds.;
2012-05-08 11:59:55,043 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:24,993 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.2904065 seconds.;
2012-05-08 12:02:27,601 | [9] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:28,444 | [24] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:28,476 | [22] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:28,491 | [25] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:28,507 | [21] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:28,538 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:32,239 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0060874 seconds.;
2012-05-08 12:02:32,270 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0023919 seconds.;
2012-05-08 12:02:32,333 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012537 seconds.;
2012-05-08 12:02:32,348 | [15] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:02:32,442 | [22] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006849 seconds.;
2012-05-08 12:02:32,536 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005301 seconds.;
2012-05-08 12:02:36,783 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004181 seconds.;
2012-05-08 12:02:36,783 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002282 seconds.;
2012-05-08 12:03:54,470 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:13,209 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.1057362 seconds.;
2012-05-08 12:04:15,723 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:16,332 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:16,363 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:16,394 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:16,426 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
