2012-06-08 11:35:19,809 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-08 11:35:19,840 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-08 11:35:25,963 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":6259};
2012-06-08 11:38:57,997 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"1.0","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:39:07,002 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"1.1","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:39:11,443 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"1.1","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:39:15,555 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:39:21,778 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"1.2","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:39:27,438 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"1.2","DeviceSN":"","EffectiveDateSt":""};
2012-06-08 11:44:22,914 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-08 11:44:22,929 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
