2012-06-13 12:00:49,684 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 12:00:49,699 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 12:01:28,574 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":35};
2012-06-13 12:02:23,418 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 12:02:24,293 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 12:02:32,496 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":35};
2012-06-13 12:04:35,762 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"The request channel timed out while waiting for a reply after 00:00:59.9687500. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.","code":""};
2012-06-13 13:17:15,765 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:17:15,984 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:18:21,312 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL"};
2012-06-13 13:18:27,125 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":35};
2012-06-13 13:19:18,062 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"Error: Object reference not set to an instance of an object.","code":""};
2012-06-13 13:21:48,187 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:21:48,187 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:21:54,265 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL"};
2012-06-13 13:22:01,453 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":35};
2012-06-13 13:23:19,828 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"The request channel timed out while waiting for a reply after 00:01:00. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.","code":""};
2012-06-13 13:24:53,406 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"The request channel timed out while waiting for a reply after 00:00:57.4218750. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.","code":""};
2012-06-13 13:25:35,109 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"Error: Object reference not set to an instance of an object.","code":""};
2012-06-13 13:27:35,687 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:27:35,875 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:27:44,562 | [22] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":35};
2012-06-13 13:29:23,015 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"The request channel timed out while waiting for a reply after 00:00:57.3906250. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.","code":""};
2012-06-13 13:31:36,109 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveQuickDeployment","Success":false,"Message":"The request channel timed out while waiting for a reply after 00:01:00. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.","code":""};
2012-06-13 13:32:48,048 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:32:48,954 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:46:06,313 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:46:06,329 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:46:30,220 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-13 13:46:31,204 | [22] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
