2012-04-25 11:40:32,669 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 3.8382091 seconds.;
2012-04-25 11:40:43,047 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016488 seconds.;
2012-04-25 11:40:44,523 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003392 seconds.;
2012-04-25 11:40:44,538 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003306 seconds.;
2012-04-25 11:40:44,569 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0046626 seconds.;
2012-04-25 11:40:44,585 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000925 seconds.;
2012-04-25 11:40:48,096 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003737 seconds.;
2012-04-25 11:40:48,096 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003286 seconds.;
2012-04-25 11:43:09,942 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:9758};
2012-04-25 11:44:13,979 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.8941407 seconds.;
2012-04-25 11:44:22,946 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012283 seconds.;
2012-04-25 11:44:23,678 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003145 seconds.;
2012-04-25 11:44:23,678 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002999 seconds.;
2012-04-25 11:44:23,740 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012605 seconds.;
2012-04-25 11:44:23,740 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012605 seconds.;
2012-04-25 11:44:27,959 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001941 seconds.;
2012-04-25 11:44:27,990 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003176 seconds.;
2012-04-25 11:44:28,597 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:3335};
2012-04-25 11:44:28,597 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0038045 seconds.;
2012-04-25 11:44:32,909 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:ALL, principleCode:, effectiveDateSt:, effectiveTimeSt:, elapsedMilliseconds:456};
